Timestamp;Offset;Event;Path
2023-02-19 21:16:47.242984;112;"LOOKUP RECEIVED";P3-P1
2023-02-19 21:16:47.391425;113;"LOOKUP RECEIVED";P3-P2
2023-02-19 21:16:48.413953;114;"LOOKUP RECEIVED";P1-P2
2023-02-19 21:16:48.472992;114;"LOOKUP SENT";P2-P4
2023-02-19 21:16:48.473512;114;"LOOKUP SENT";P2-P3
2023-02-19 21:16:48.473738;114;"LOOKUP SENT";P2-P1
2023-02-19 21:16:48.480964;114;"LOOKUP RECEIVED";P3-P4
2023-02-19 21:16:48.534747;114;"LOOKUP RECEIVED";P2-P1
2023-02-19 21:16:48.590955;114;"LOOKUP RECEIVED";P2-P4
2023-02-19 21:16:49.395241;115;"LOOKUP RECEIVED";P2-P3
2023-02-19 21:16:51.981623;117;"LOOKUP SENT";P1-P4
2023-02-19 21:16:51.982558;117;"LOOKUP SENT";P1-P2
2023-02-19 21:16:51.983106;117;"LOOKUP SENT";P1-P3
2023-02-19 21:16:52.027600;117;"LOOKUP RECEIVED";P1-P3
2023-02-19 21:16:52.075892;117;"LOOKUP RECEIVED";P1-P2
2023-02-19 21:16:52.197846;117;"LOOKUP RECEIVED";P1-P4
2023-02-19 21:16:54.191723;119;"LOOKUP SENT";P3-P2
2023-02-19 21:16:54.192545;119;"LOOKUP SENT";P3-P4
2023-02-19 21:16:54.193019;119;"LOOKUP SENT";P3-P1
2023-02-19 21:16:54.239206;119;"LOOKUP RECEIVED";P3-P1
2023-02-19 21:16:54.911059;120;"LOOKUP SENT";P4-P3
2023-02-19 21:16:54.911685;120;"LOOKUP SENT";P4-P1
2023-02-19 21:16:54.912231;120;"LOOKUP SENT";P4-P2
2023-02-19 21:16:55.953602;121;"LOOKUP RECEIVED";P4-P3
2023-02-19 21:16:55.963974;121;"LOOKUP RECEIVED";P4-P2
2023-02-19 21:16:57.124494;122;"LOOKUP RECEIVED";P3-P4
2023-02-19 21:16:57.244901;122;"LOOKUP RECEIVED";P3-P2
2023-02-19 21:17:00.484640;126;"LOOKUP SENT";P2-P4
2023-02-19 21:17:00.484935;126;"LOOKUP SENT";P2-P3
2023-02-19 21:17:00.485485;126;"LOOKUP SENT";P2-P1
2023-02-19 21:17:00.543372;126;"LOOKUP RECEIVED";P2-P1
2023-02-19 21:17:00.597946;126;"LOOKUP RECEIVED";P2-P4
2023-02-19 21:17:00.919212;126;"LOOKUP SENT";P4-P3
2023-02-19 21:17:00.919662;126;"LOOKUP SENT";P4-P1
2023-02-19 21:17:00.919994;126;"LOOKUP SENT";P4-P2
2023-02-19 21:17:01.092615;126;"LOOKUP RECEIVED";P4-P1
2023-02-19 21:17:01.994379;127;"LOOKUP SENT";P1-P4
