Timestamp;Peer;Received;Source;Payload
2023-04-14 12:16:30.851000;P2;JOIN;P3;{"Message": "JOIN", "Destination": "P2", "Source": "P3", "ID": "P3_1681467390801", "TTL": 4, "Route": "", "Relay": "spinat", "Cookie": "17a17d318e6ae16aea23"}
2023-04-14 12:16:31.406000;P2;HB;P3;{"Message": "HB", "RID": "P3", "HBref": 1681467391306, "HBresp": 1681467391351}
2023-04-14 12:16:31.483000;P2;JOIN;P2;{"Message": "JOIN", "Destination": "P3", "Source": "P2", "ID": "P2_1681467386631", "TTL": 2, "Route": "", "Relay": "relayon1173", "Cookie": "17a17d318e6ae16aea23"}
2023-04-14 12:16:31.493000;P2;JOIN;P2;{"Message": "JOIN", "Destination": "P3", "Source": "P2", "ID": "P2_1681467386631", "TTL": 1, "Route": "", "Relay": "relayon1173", "Cookie": "17a17d318e6ae16aea23"}
2023-04-14 12:16:31.505000;P2;JOIN;P3;{"Message": "JOIN", "Destination": "P2", "Source": "P3", "ID": "P3_1681467390801", "TTL": 3, "Route": "", "Relay": "spinat", "Cookie": "17a17d318e6ae16aea23"}
2023-04-14 12:16:31.710000;P2;HELLO;P3;{"Message": "HELLO", "Peer": "P3"}
2023-04-14 12:16:32.427000;P2;LOOKUP;P2;{"Message": "LOOKUP", "Destination": "P1", "Source": "P2", "TTL": 4, "ID": "P2_1681467392426", "Route": [], "Path": ["P2"]}
2023-04-14 12:16:32.713000;P2;LSA;P3;{"RID": "P3", "Port": 5003, "Neighbours": 3, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}, {"NID": "P4", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}, {"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "spinat", "FLAG": 0}], "SN": 5, "FLAG": 1}
2023-04-14 12:16:34.717000;P2;JOIN;P3;{"Message": "JOIN", "Destination": "P2", "Source": "P3", "ID": "P3_1681467390801", "TTL": 3, "Route": "", "Relay": "spinat", "Cookie": "17a17d318e6ae16aea23"}
2023-04-14 12:16:34.717000;P2;HB;P1;{"Message": "HB", "RID": "P1", "HBref": 1681467391305, "HBresp": 1681467391711}
2023-04-14 12:16:34.717000;P2;JOIN;P2;{"Message": "JOIN", "Destination": "P3", "Source": "P2", "ID": "P2_1681467386631", "TTL": 1, "Route": "", "Relay": "relayon1173", "Cookie": "17a17d318e6ae16aea23"}
2023-04-14 12:16:34.717000;P2;LSA;P3;{"RID": "P3", "Port": 5003, "Neighbours": 3, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}, {"NID": "P4", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}, {"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "spinat", "FLAG": 0}], "SN": 5, "FLAG": 1}
2023-04-14 12:16:34.718000;P2;LSA;P3;{"RID": "P3", "Port": 5003, "Neighbours": 3, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}, {"NID": "P4", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}, {"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "spinat", "FLAG": 0}], "SN": 5, "FLAG": 1}
2023-04-14 12:16:34.718000;P2;LOOKUP;P3;{"Message": "LOOKUP", "Destination": "P1", "Source": "P3", "TTL": 3, "ID": "P3_1681467392411", "Route": [], "Path": ["P3", "P2"]}
